Time (s),I_meas (mA)
0,33.06239296759497
0.01,33.06239296759497
0.02,33.06239296759497
0.03,33.06239296759497
0.04,33.06239296759497
0.05,33.06239296759497
0.06,33.06239296759497
0.07000000000000001,33.06239296759497
0.08,33.06239296759497
0.09,31.38388498425653
0.1,31.38388498425653
0.11,33.06239296759497
0.12,31.38388498425653
0.13,31.38388498425653
0.14,33.06239296759497
0.15,33.06239296759497
0.16,31.38388498425653
0.17,31.38388498425653
0.18,31.38388498425653
0.19,33.06239296759497
0.2,33.06239296759497
0.21,33.06239296759497
0.22,33.06239296759497
0.23,33.06239296759497
0.24,33.06239296759497
0.25,33.06239296759497
0.26,33.06239296759497
0.27,33.06239296759497
0.28,33.06239296759497
0.29,33.06239296759497
0.3,33.06239296759497
0.31,31.38388498425653
0.32,31.38388498425653
0.33,31.38388498425653
0.34,31.38388498425653
0.35,31.38388498425653
0.36,31.38388498425653
0.37,31.38388498425653
0.38,31.38388498425653
0.39,31.38388498425653
0.4,31.38388498425653
0.41,31.38388498425653
0.42,31.38388498425653
0.43,33.06239296759497
0.44,33.06239296759497
0.45,33.06239296759497
0.46,33.06239296759497
0.47,33.06239296759497
0.48,31.38388498425653
0.49,33.06239296759497
0.5,33.06239296759497
0.51,33.06239296759497
0.52,33.06239296759497
0.53,33.06239296759497
0.54,33.06239296759497
0.55,38.09791691761028
0.5600000000000001,41.45493288428715
0.5700000000000001,41.45493288428715
0.58,41.45493288428715
0.59,41.45493288428715
0.6,41.45493288428715
0.61,41.45493288428715
0.62,41.45493288428715
0.63,41.45493288428715
0.64,41.45493288428715
0.65,41.45493288428715
0.66,41.45493288428715
0.67,41.45493288428715
0.68,41.45493288428715
0.6900000000000001,41.45493288428715
0.7000000000000001,41.45493288428715
0.71,41.45493288428715
0.72,41.45493288428715
0.73,41.45493288428715
0.74,41.45493288428715
0.75,41.45493288428715
0.76,41.45493288428715
0.77,41.45493288428715
0.78,41.45493288428715
0.79,41.45493288428715
0.8,41.45493288428715
0.8100000000000001,41.45493288428715
0.8200000000000001,41.45493288428715
0.8300000000000001,41.45493288428715
0.84,41.45493288428715
0.85,41.45493288428715
0.86,41.45493288428715
0.87,41.45493288428715
0.88,41.45493288428715
0.89,41.45493288428715
0.9,41.45493288428715
0.91,41.45493288428715
0.92,41.45493288428715
0.93,41.45493288428715
0.9400000000000001,41.45493288428715
0.9500000000000001,41.45493288428715
0.96,41.45493288428715
0.97,41.45493288428715
0.98,41.45493288428715
0.99,41.45493288428715
1,41.45493288428715
1.01,41.45493288428715
1.02,41.45493288428715
1.03,41.45493288428715
1.04,41.45493288428715
1.05,41.45493288428715
1.06,41.45493288428715
1.07,41.45493288428715
1.08,41.45493288428715
1.09,41.45493288428715
1.1,41.45493288428715
1.11,41.45493288428715
1.12,41.45493288428715
1.13,41.45493288428715
1.14,41.45493288428715
1.15,41.45493288428715
1.16,41.45493288428715
1.17,41.45493288428715
1.18,41.45493288428715
1.19,41.45493288428715
1.2,41.45493288428715
1.21,41.45493288428715
1.22,41.45493288428715
1.23,41.45493288428715
1.24,41.45493288428715
1.25,41.45493288428715
1.26,41.45493288428715
1.27,41.45493288428715
1.28,41.45493288428715
1.29,41.45493288428715
1.3,41.45493288428715
1.31,41.45493288428715
1.32,41.45493288428715
1.33,41.45493288428715
1.34,41.45493288428715
1.35,41.45493288428715
1.36,41.45493288428715
1.37,41.45493288428715
1.38,41.45493288428715
1.39,41.45493288428715
1.4,41.45493288428715
1.41,41.45493288428715
1.42,41.45493288428715
1.43,41.45493288428715
1.44,41.45493288428715
1.45,41.45493288428715
1.46,41.45493288428715
1.47,41.45493288428715
1.48,41.45493288428715
1.49,41.45493288428715
1.5,41.45493288428715
1.51,41.45493288428715
1.52,41.45493288428715
1.53,41.45493288428715
1.54,41.45493288428715
1.55,36.41940893427184
1.56,33.06239296759497
1.57,33.06239296759497
1.58,31.38388498425653
1.59,33.06239296759497
1.6,33.06239296759497
1.61,33.06239296759497
1.62,33.06239296759497
1.63,33.06239296759497
1.64,33.06239296759497
1.65,33.06239296759497
1.66,31.38388498425653
1.67,33.06239296759497
1.68,33.06239296759497
1.69,33.06239296759497
1.7,33.06239296759497
1.71,33.06239296759497
1.72,31.38388498425653
1.73,31.38388498425653
1.74,33.06239296759497
1.75,31.38388498425653
1.76,33.06239296759497
1.77,33.06239296759497
1.78,33.06239296759497
1.79,33.06239296759497
1.8,33.06239296759497
1.81,33.06239296759497
1.82,33.06239296759497
1.83,33.06239296759497
1.84,33.06239296759497
